Suborder	Species	Basilar membrane length (mm)	Turns	Body mass (g)	Echolocation call type
Yangochiroptera	Thyroptera_tricolor	13,42	2,5	3,5	Oral
Yangochiroptera	Trachops_cirrhosus	16	3,25	43,87	Nasal
stem bat	Vielasia_sigei	12,38	2,5	18,94	unknown
Cetacea	Eubalaena_glacialis	54,1	2,5	31837000	LF-cet
Cetacea	Balaena_mysticetus	56,5	2,25	42201000	LF-cet
Cetacea	Balaenoptera_musculus	50,6	2,25	190000000	LF-cet
Cetacea	Balaenoptera_acutorostrata	50,6	2,25	8000000	LF-cet
Cetacea	Balaenoptera_physalus	64,7	2,5	70000000	LF-cet
Cetacea	Megaptera_novaeangliae	60,1	2	30000000	LF-cet
Cetacea	Physeter_catodon	54,3	1,75	20000000	HF-cet
Cetacea	Inia_geoffrensis	38,2	1,5	130000	HF-cet
Cetacea	Delphinus_delphis	30,7	2,25	70000	HF-cet
Cetacea	Grampus_griseus	41	2,5	387500	HF-cet
Cetacea	Tursiops_truncatus	38,9	2,25	155000	HF-cet
Cetacea	Stenella_attenuata	36,9	2,5	100000	HF-cet
Cetacea	Lagenorhynchus_albirostris	34,8	2,25	180000	HF-cet
Cetacea	Lagenorhynchus_obliquidens	33,8	2	120000	HF-cet
Cetacea	Phocoenoides_dalli	29,1	2	102500	HF-cet
Cetacea	Phocoena_phocoena	22,5	1,5	50000	HF-cet
Hystricomorpha	Spalacopus_cyanus	11,68	3,5	90	non-bat
Myomorpha	Nannospalax_ehrenbergi	12,6	4	143	non-bat
Myomorpha	Meriones_unguiculatus	12,1	3,25	50	non-bat
Myomorpha	Mus_musculus	6	1,95	22	non-bat
Myomorpha	Rattus_norvegicus	10,7	2,2	325	non-bat
Myomorpha	Rattus_rattus	12,1	2,125	200	non-bat
Hystricomorpha	Cavia_porcellus	20,5	4,25	406	non-bat
Hystricomorpha	Chinchilla_lanigera	18,5	3	490	non-bat
Hystricomorpha	Ctenomys_talarum	10,58	3,25	140	non-bat
Castorimorpha	Dipodomys_merriami	9,83	3,25	50	non-bat
Myomorpha	Arvicola_amphibius	10,5	2,3	130	non-bat
Myomorpha	Microtus_arvalis	8,5	2,3	27	non-bat
Hystricomorpha	Fukomys_anselli	11,1	4,25	80	non-bat
Lagomorpha	Oryctolagus_cuniculus	15,25	2,5	2000	non-bat
Haplorrhini	Homo_sapiens	34,25	2,75	75000	non-bat
Haplorrhini	Saimiri_sciureus	15,4	2,25	743,2	non-bat
Ruminantia	Bos_taurus	38	3,5	500000	non-bat
Feliformia	Felis_catus	22,5	3	2500	non-bat
Caniformia	Zalophus_californianus	54,3	1,75	80000	non-bat
Elephantiformes	Elephas_maximus	60	2,25	4000000	non-bat
Sirenia	Trichechus_manatus	35	1,75	400000	non-bat
Marsupialia	Monodelphis_domestica	6,4	1,8	110	non-bat
Marsupialia	Didelphis_virginiana	15	2,5	3000	non-bat
